routing,ts,src,dst,src_ip,dst_ip,loss_pct,rtt_min,rtt_avg,rtt_max,rtt_mdev
l2_learn,1785386524.016212,corp1,corp2,10.7.0.1,10.7.0.2,0.0,10.042,11.053,13.073,1.428
l2_learn,1785386536.0581944,cdn1,origin,10.4.0.1,10.5.0.1,0.0,3.439,5.272,8.777,2.478
l2_learn,1785386538.0751429,cdn2,cdn1,10.4.0.2,10.4.0.1,0.0,0.835,4.741,12.551,5.522
l2_learn,1785386550.4701736,corp2,mob2,10.7.0.2,10.8.0.2,0.0,143.934,192.728,288.566,67.771
l2_learn,1785386557.8023272,home1,home2,10.9.0.1,10.9.0.2,100.0,,,,
l2_learn,1785386559.9936228,mob1,home1,10.8.0.1,10.9.0.1,0.0,119.014,137.979,175.165,26.296
l2_learn,1785386572.1605108,cdn1,isp_gw,10.4.0.1,10.2.0.1,0.0,37.452,39.979,44.841,3.438
l2_learn,1785386574.2021337,isp_gw,cdn1,10.2.0.1,10.4.0.1,0.0,37.452,37.473,37.516,0.029
l2_learn,1785386586.419691,root1,mob1,10.1.0.1,10.8.0.1,0.0,125.073,125.096,125.112,0.016
l2_learn,1785386589.2882752,mob2,corp2,10.8.0.2,10.7.0.2,0.0,143.078,163.438,200.969,26.569
l2_learn,1785386591.5019624,corp2,mob2,10.7.0.2,10.8.0.2,0.0,143.046,155.626,180.773,17.781
l2_learn,1785386603.867976,isp_gw,cdn1,10.2.0.1,10.4.0.1,0.0,37.493,37.691,38.081,0.275
l2_learn,1785386605.9774745,home1,home2,10.9.0.1,10.9.0.2,0.0,70.027,71.837,75.454,2.557
l2_learn,1785386610.130293,corp1,mob2,10.7.0.1,10.8.0.2,0.0,144.798,1837.309,4151.832,1693.96
l2_learn,1785386622.1732702,cdn1,corp2,10.4.0.1,10.7.0.2,0.0,22.441,22.45,22.461,0.008
l2_learn,1785386624.3217976,home2,mob1,10.9.0.2,10.8.0.1,0.0,126.055,433.001,1044.737,432.563
l2_learn,1785386626.5656366,home2,isp_gw,10.9.0.2,10.2.0.1,0.0,175.262,198.08,223.657,19.853
l2_learn,1785386638.654112,home1,root1,10.9.0.1,10.1.0.1,0.0,81.07,81.087,81.11,0.016
l2_learn,1785386640.7723355,corp2,isp_gw,10.7.0.2,10.2.0.1,0.0,106.409,169.316,287.202,83.42
l2_learn,1785386642.854155,cdn2,home1,10.4.0.2,10.9.0.1,0.0,77.473,77.49,77.5,0.012
l2_learn,1785386655.1195312,corp2,root1,10.7.0.2,10.1.0.1,0.0,26.043,26.054,26.071,0.011
l2_learn,1785386657.1582444,corp1,root1,10.7.0.1,10.1.0.1,0.0,24.051,24.146,24.3,0.109
l2_learn,1785386659.260957,cdn2,home2,10.4.0.2,10.9.0.2,0.0,96.322,153.379,264.03,78.254
l2_learn,1785388698.2072,corp2,isp_gw,10.7.0.2,10.2.0.1,0.0,27.083,27.11,27.126,0.019
l2_learn,1785388700.742394,corp1,cdn1,10.7.0.1,10.4.0.1,0.0,20.461,20.789,21.387,0.423
l2_learn,1785388712.7572992,corp1,corp2,10.7.0.1,10.7.0.2,0.0,10.142,11.005,12.674,1.18
l2_learn,1785388714.8839068,mob1,cdn1,10.8.0.1,10.4.0.1,0.0,121.675,124.447,129.916,3.867
l2_learn,1785388726.905121,corp1,cdn1,10.7.0.1,10.4.0.1,0.0,20.504,20.641,20.89,0.176
l2_learn,1785388729.8956127,cdn1,mob2,10.4.0.1,10.8.0.2,33.3333,151.868,151.95,152.032,0.082
