routing,ts,event,link,duration,reorder_pct,gap,delay_add,loss_add,jitter,correlation,mtu,duplicate_pct
static,1785393529.6030576,link_flap_end,s6-s4,0,,,,,,,,
static,1785393559.6008031,link_flap_start,s1-s8,5,,,,,,,,
static,1785393564.618492,link_flap_end,s1-s8,0,,,,,,,,
static,1785393661.6069477,congestion,s3-s6,7,,,45.0,4.79,,,,
static,1785393668.611276,congestion_end,s3-s6,0,,,,,,,,
static,1785393719.6094103,link_flap_start,s6-s4,7,,,,,,,,
static,1785393726.6157897,link_flap_end,s6-s4,0,,,,,,,,
hybrid,1785405883.3830078,congestion,s3-s6,16,,,47.0,2.08,,,,
hybrid,1785405900.1801035,congestion_end,s3-s6,0,,,,,,,,
hybrid,1785406187.6265402,buffer_bloat,s2-s3,14,,,197.0,,,,,
hybrid,1785406202.4378054,buffer_bloat_end,s2-s3,0,,,,,,,,
hybrid,1785406263.0390117,route_change,s3-s8,9,,,18.0,1.23,,,,
hybrid,1785406272.0420663,route_change_end,s3-s8,0,,,,,,,,
hybrid,1785406674.9757092,jitter_spike,s2-s3,6,,,13.0,,18.5,49.0,,
hybrid,1785406680.9787476,jitter_spike_end,s2-s3,0,,,,,,,,
hybrid,1785406711.8257546,congestion,s1-s2,11,,,30.0,7.91,,,,
hybrid,1785406723.685437,congestion_end,s1-s2,0,,,,,,,,
hybrid,1785406884.1257348,mtu_blackhole,s3-s8,15,,,,,,,576.0,
hybrid,1785406899.9943087,mtu_blackhole_end,s3-s8,0,,,,,,,,
hybrid,1785407342.81946,link_degrade,s2-s3,40,,,37.0,2.35,,,,
hybrid,1785407384.837649,link_degrade_end,s2-s3,0,,,,,,,,
