routing,ts,host,host_ip,LISTEN,SYN-SENT,SYN-RECV,ESTAB,FIN-WAIT-1,FIN-WAIT-2,CLOSE-WAIT,CLOSING,LAST-ACK,TIME-WAIT,CLOSED,total_connections,active_connections
spf,1785389697.8952315,home1,10.9.0.1,0,0,0,2,0,0,0,0,0,1,0,3,2
spf,1785389697.8985412,mob1,10.8.0.1,0,0,0,2,0,0,0,0,0,3,0,5,2
spf,1785389705.9319794,home1,10.9.0.1,0,0,0,2,0,0,0,0,0,1,0,3,2
spf,1785389705.9348054,cdn2,10.4.0.2,3,0,0,2,0,0,0,0,0,5,0,10,2
spf,1785389705.9377608,corp1,10.7.0.1,0,0,0,3,0,0,0,0,0,5,0,8,3
spf,1785389705.946019,cdn1,10.4.0.1,3,0,0,3,0,0,0,0,0,1,0,7,3
spf,1785389713.9514098,mob1,10.8.0.1,0,0,0,2,0,0,0,0,0,3,0,5,2
spf,1785389713.9530213,corp1,10.7.0.1,0,0,0,3,0,0,0,0,0,5,0,8,3
spf,1785389713.9547555,cdn2,10.4.0.2,3,0,0,3,0,0,0,0,0,3,0,9,3
spf,1785389713.9585693,isp_gw,10.2.0.1,3,0,0,1,0,0,0,0,0,7,0,11,1
spf,1785389722.0806136,isp_gw,10.2.0.1,3,0,0,0,0,0,0,0,0,7,0,10,0
spf,1785389722.082788,mob2,10.8.0.2,0,0,0,2,0,0,0,0,0,1,0,3,2
spf,1785389722.0930293,root1,10.1.0.1,3,0,0,2,1,0,0,0,0,5,0,11,2
spf,1785389722.1016974,home1,10.9.0.1,0,0,0,2,0,0,0,0,0,1,0,3,2
spf,1785389730.106202,origin,10.5.0.1,3,0,0,2,0,0,0,0,0,3,0,8,2
spf,1785389730.1110675,mob1,10.8.0.1,0,0,0,3,0,0,0,0,0,2,0,5,3
spf,1785389730.1181655,root1,10.1.0.1,3,0,0,2,0,0,0,0,0,3,0,8,2
spf,1785389730.12105,corp2,10.7.0.2,0,0,0,0,0,0,0,0,0,2,0,2,0
spf,1785389738.1242373,cdn2,10.4.0.2,3,0,0,3,0,0,0,0,0,3,0,9,3
spf,1785389738.128162,mob2,10.8.0.2,0,0,0,0,0,0,0,0,0,2,0,2,0
spf,1785389738.1307545,cdn1,10.4.0.1,3,0,0,2,0,0,0,0,0,3,0,8,2
spf,1785389746.1395698,origin,10.5.0.1,3,0,0,1,0,0,0,0,0,4,0,8,1
spf,1785389746.1435,mob1,10.8.0.1,0,0,0,3,0,0,0,0,0,2,0,5,3
spf,1785389746.1471417,root1,10.1.0.1,3,0,0,2,0,0,0,0,0,6,0,11,2
spf,1785389746.169703,corp2,10.7.0.2,0,0,0,0,0,0,0,0,0,4,0,4,0
spf,1785389754.997796,isp_gw,10.2.0.1,3,0,0,3,0,0,0,0,0,9,0,15,3
spf,1785389755.1924152,mob2,10.8.0.2,0,0,0,1,0,0,0,0,0,2,0,3,1
